Container A,Container B,Unemployment,Verstappen,SergioPerez,Result,Minimum Wages,Inflation
,,6.1,,,11,-0.5443,17.25352113
,,5.9,,,9,-0.6524,8.70870871
,,5.7,,,12,-0.3921,11.87845304
,,5.8,,,6,-0.2285,-0.98765432
,,5.6,,,2,-0.6068,1.99501247
,,5.7,,,9,-0.0753,-18.58190709
,,5.5,,,7,-0.3798,-5.40540541
,,5.4,,,11,14.0181,12.38095238
,,5.4,,,5,-0.6285,6.21468927
,,5.6,,,4,-0.82,24.20212766
,,5.3,,,6,-0.3262,30.19271949
,,5.2,,,5,-0.2037,-3.125
,,5.1,,,10,-0.53,-0.16977929
,,5,,,5,-0.5841,-1.19047619
,,5,,,2,-0.1905,-3.78657487
,,5.1,,,9,-0.6126,7.33452594
,,5,,,5,-0.8307,4
,,4.8,,,10,-1.1319,18.10897436
,,4.9,,,5,-0.3614,-0.13568521
,,5,,,2,21.2844,-3.94021739
,,5.1,,,9,-0.8228,2.97029703
,,4.8,,,5,-0.9804,2.33516484
,,4.9,,,5,-0.538,3.08724832
,,4.8,,,6,-0.176,-0.390625
,,4.9,,,9,-0.8374,4.44444444
,,5,,,8,-0.7353,2.00250313
,,4.9,,,6,-0.6906,6.74846626
,,4.7,,,7,-0.6165,0
,,4.7,,,8,-0.5628,-3.33333333
,,4.7,,,5,-0.5722,-7.25326992
,,4.6,,,11,-0.3803,0.25641026
,,4.4,,,9,19.1922,1.15089514
,,4.4,,,12,-0.5545,-3.66624526
,,4.4,,,11,-0.2672,-10.10498688
,,4.3,,,9,0.0203,-8.75912409
,,4.3,,,9,0.2178,-6.56
,,4.4,,,7,-0.1014,-13.35616438
,,4.3,,,12,-0.4797,-5.33596838
,,4.2,,,8,-0.5504,-3.13152401
,,4.2,,,6,,
,,4.1,,,7,,
,,4,,,5,,
,,4.1,,,3,,
,,4,,,9,,
,,4,,,9,,
,,3.8,,,6,,
,,4,,,4,,
,,3.8,,,5,,
,,3.8,,,6,,
,,3.7,,,6,,
,,3.8,,,4,,
,,3.8,,,2,,
,,3.9,,,5,,
,,4,,,12,,
,,3.8,,,4,,
,,3.8,,,6,,
,,3.6,,,7,,
,,3.7,,,6,,
,,3.6,,,8,,
,,3.7,,,5,,
,,3.7,,,5,,
,,3.5,,,5,,
,,3.6,,,4,,
,,3.6,,,8,,
,,3.6,,,2,,
,,3.5,,,6,,
,,3.5,,,2,,
,,4.4,,,6,,
,,14.7,,,11,,
,,13.2,,,10,,
,,11,,,7,,
,,10.2,,,7,,
,,8.4,,,7,,
,,7.9,,,4,,
,,6.9,,,5,,
,,6.7,,,6,,
,,6.7,,,8,,
,,6.3,,,8,,
,,6.2,,,8,,
,,6.1,,,9,,
,,6.1,,,10,,
,,5.8,,,7,,
,,5.9,,,7,,
,,5.4,,,5,,
,,5.2,,,6,,
,,4.8,,,8,,
,,4.5,,,6,,
,,4.2,,,9,,
,,3.9,,,9,,
,,4,,,8,,
,,3.8,,,6,,
,,3.6,,,4,,
,,3.6,,,7,,
,,3.6,,,4,,
,,3.6,,,5,,
,,3.5,,,3,,
,,3.7,,,5,,
,,3.5,,,9,,
,,3.7,,,4,,
,,3.6,,,7,,
,,3.5,,,9,,
,,3.4,,,11,,
,,3.6,,,9,,
,,3.5,,,12,,
,,3.4,,,6,,
,,,,,2,,
,,,,,9,,
,,,,,7,,
,,,,,11,,
,,,,,5,,
,,,,,4,,
,,,,,6,,
,,,,,5,,
,,,,,10,,
,,,,,5,,
,,,,,2,,
,,,,,9,,
,,,,,5,,
,,,,,10,,
,,,,,5,,
,,,,,2,,
,,,,,9,,
,,,,,5,,
,,,,,5,,
,,,,,6,,
,,,,,9,,
,,,,,8,,
,,,,,6,,
,,,,,7,,
,,,,,8,,
,,,,,5,,
,,,,,11,,
,,,,,9,,
,,,,,12,,
,,,,,11,,
,,,,,9,,
,,,,,9,,
,,,,,7,,
,,,,,12,,
,,,,,8,,
,,,,,6,,
,,,,,7,,
,,,,,5,,
,,,,,3,,
,,,,,9,,
,,,,,9,,
,,,,,6,,
