Extra-sleep,Extra-group,Capsule,Tablet,Variant,Control,Views-V,Views-C
,,,4.5,0,0,3,0
,,,4.25,0,0,7,0
,,,3.42,0,0,14,0
,,,1,0,0,2,0
,,,3,0,0,9,0
,,,3.8,0,0,11,0
,,,4.11,0,0,1,0
,,,3.665,0,0,3,0
,,,3.12,0,0,4,0
,,,3.4,0,0,1,0
,,,3,0,0,3,0
,,,4.25,0,0,27,0
,,,3.92,0,0,1,0
,,,4.125,0,0,11,0
,,,3.78,0,0,3,0
,,,3.355,0,0,4,0
,,,4.3,0,0,6,0
,,,4.248,0,0,10,0
,,,2.96,0,0,20,0
,,,4.43,0,0,6,0
,,,2.61,0,0,3,0
,,,3.67,0,0,1,0
,,,5,0,0,4,0
,,,3.16,0,0,20,0
,,,4.3,0,0,2,0
,,,3.71,0,0,2,0
,,,3.19,0,0,3,0
,,,4,0,0,3,0
,,,2.875,0,0,2,0
,,,3.41,0,0,3,0
,,,3.305,0,0,3,0
,,,2.8,0,0,1,0
,,,3.23,0,0,3,0
,,,3.1,0,0,3,0
,,,3.09,0,0,3,0
,,,3.27,0,0,5,0
,,,3.78,0,0,8,0
,,,3.45,0,0,3,0
,,,3.855,0,0,7,0
,,,3.74,0,0,2,0
,,,3.81,0,0,3,0
,,,3.856667,0,0,3,0
,,,4.42,0,0,1,0
,,,3.57,0,0,8,0
,,,4,0,0,1,0
,,,4.5,0,0,1,0
,,,3.43,0,0,11,0
,,,3.635,0,0,2,0
,,,3.89,0,0,2,0
,,,4.025,0,0,4,0
,,,4.42,0,0,6,0
,,,2.88,0,0,11,0
,,,3.67,0,0,9,0
,,,3.18,0,0,7,0
,,,3.4,0,0,6,0
,,,2.673333,0,0,3,0
,,,3.67,0,0,2,0
,,,3.42,0,0,3,0
,,,3.55,0,0,3,0
,,,3.205333,0,0,1,0
,,,3.09,0,0,1,0
,,,3.633333,0,0,9,0
,,,4.125,0,0,2,0
,,,3.415,0,0,7,0
,,,4.875,0,0,4,0
,,,4.33,0,0,26,0
,,,3.795,0,0,3,0
,,,4.225,0,0,2,0
,,,1.5,0,0,2,0
,,,2.753333,0,0,1,0
,,,3.39,0,0,1,0
,,,1.835,0,0,1,0
,,,3.46875,0,0,7,0
,,,3.615,0,0,3,0
,,,3.665,0,0,4,0
,,,3.35,0,0,3,0
,,,3.45,0,0,1,0
,,,3.7,0,0,5,0
,,,2.98,0,0,7,0
,,,3.57,0,0,2,0
,,,3.68,0,0,2,0
,,,4.666667,0,0,5,0
,,,3.445,0,0,2,0
,,,3.5,0,0,3,0
,,,3.365,0,0,9,0
,,,4.355,0,0,2,0
,,,3.32,0,0,4,0
,,,3.21,0,0,10,0
,,,4.5,0,0,21,0
,,,4.5,0,0,2,0
,,,3.64,0,0,1,0
,,,5,0,0,2,0
,,,3.731429,0,0,2,0
,,,3.165,0,0,4,0
,,,3.82,0,0,1,0
,,,3.86,0,0,5,0
,,,3.675,0,0,5,0
,,,5,0,0,3,0
,,,4.59,0,0,3,0
,,,3.865556,0,0,3,0
,,,2.785,0,0,11,0
,,,3.74,0,0,3,0
,,,4,0,0,4,0
,,,3.36,0,0,2,0
,,,3.915,0,0,2,0
,,,3.65,0,0,5,0
,,,4.27,0,0,13,0
,,,3.57,0,0,2,0
,,,3.51,0,0,8,0
,,,4.09,0,0,2,0
,,,4.13,0,0,4,0
,,,3.234,0,0,13,0
,,,2,0,0,6,0
,,,3.31,0,0,1,0
,,,3.85,0,0,3,0
,,,3.398333,0,0,3,0
,,,3.19,0,0,14,0
,,,5,0,0,4,0
,,,3.6,0,0,2,0
,,,3.78,0,0,6,0
,,,3,0,0,4,0
,,,4.27,0,0,4,0
,,,3.355,0,0,3,0
,,,3.71,0,0,5,0
,,,3.1425,1.26,0,3,1.26
,,,2.85,0,0,1,0
,,,3.23,0,0,4,0
,,,3.1,0,0,4,0
,,,3.65,0,0,6,0
,,,3.172857,0,0,5,0
,,,1.5,0,0,4,0
,,,5,0,0,1,0
,,,3.929615,0,0,17,0
,,,4,0,0,5,0
,,,3.5,0,0,2,0
,,,4.161429,0,0,4,0
,,,3.465,0,0,2,0
,,,2.33,0,0,14,0
,,,3.6,0,0,1,0
,,,,0,0,10,0
,,,,0,10.63,6,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,12,0
,,,,0,0,2,0
,,,,0,0,12,0
,,,,0,0,6,0
,,,,0,0,6,0
,,,,0,0,11,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,9,0
,,,,0,0,2,0
,,,,0,0,13,0
,,,,0,0,3,0
,,,,0,0,30,0
,,,,0,0,2,0
,,,,0,0,6,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,4,0
,,,,0,0,4,0
,,,,0,0,13,0
,,,,0,0,1,0
,,,,0,0,5,0
,,,,0,0,7,0
,,,,0,0,5,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,8,0
,,,,0,0,8,0
,,,,0,0,6,0
,,,,0,0,8,0
,,,,0,0,6,0
,,,,0,0,6,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,13,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,6,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,11,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,20,0
,,,,0,0,4,0
,,,,0,17.05,5,0
,,,,0,0,7,0
,,,,0,0,15,0
,,,,0,0,7,0
,,,,0,0,1,0
,,,,0,0,15,0
,,,,0,0,3,0
,,,,0,0,13,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,10,0
,,,,0,0,1,0
,,,,0,0,5,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,6,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,4,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,25,0
,,,,0,0,5,0
,,,,0,0,2,0
,,,,0,0,7,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,6,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,4,0
,,,,0,0,4,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,8,0
,,,,0,0,5,0
,,,,0,0,2,0
,,,,0,0,9,0
,,,,0,0,1,0
,,,,0,0,38,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,2.17,6,0
,,,,0,0,16,0
,,,,0,0,16,0
,,,,0,0,1,0
,,,,0,0,5,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,5,0
,,,,0,0,6,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,4,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,6,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,16,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,5,0
,,,,0,0,6,0
,,,,0,0,6,0
,,,,0,0,11,0
,,,,0,0,11,0
,,,,0,0,8,0
,,,,0,0,3,0
,,,,0,0,16,0
,,,,0,0,3,0
,,,,0,0,10,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,18,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,9,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,1,0
,,,,0,0,18,0
,,,,0,0,2,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,7,0
,,,,0,0,4,0
,,,,0,0,31,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,7,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,21,0
,,,,0,0,2,0
,,,,0,0,9,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,9,0
,,,,0,0,2,0
,,,,0,0,8,0
,,,,0,0,6,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,6,0
,,,,0,0,21,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,9,0
,,,,0,0,9,0
,,,,0,1.25,2,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,13,0
,,,,0,0,15,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,5,0
,,,,0,0,12,0
,,,,0,0,9,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,6,0
,,,,0,0,8,0
,,,,0,0,8,0
,,,,0,0,4,0
,,,,0,0,9,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,6,0
,,,,0,0,2,0
,,,,0,0,6,0
,,,,0,0,2,0
,,,,0,0,6,0
,,,,0,0,12,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,7,0
,,,,0,0,2,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,15,0
,,,,0,0,2,0
,,,,0,0,7,0
,,,,0,0,3,0
,,,,0,0,42,0
,,,,0,0,6,0
,,,,0,0,9,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,4,0
,,,,0,0,5,0
,,,,0,0,2,0
,,,,0,0,6,0
,,,,0,0,1,0
,,,,0,0,12,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,12,0
,,,,0,0,4,0
,,,,0,0,4,0
,,,,0,0,9,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,5.45,0,5,5.45
,,,,0,0,2,0
,,,,0,4.87,1,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,6,0
,,,,0,0,5,0
,,,,0,0,1,0
,,,,0,0,29,0
,,,,0,0,4,0
,,,,0,0,8,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,9,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,14,0
,,,,0,0,10,0
,,,,0,0,10,0
,,,,0,0,6,0
,,,,0,0,3,0
,,,,0,0,4,0
,,,,0,0,1,0
,,,,0,0,31,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,7,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,10,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,13,0
,,,,0,0,3,0
,,,,0,0,17,0
,,,,0,0,15,0
,,,,0,0,9,0
,,,,0,0,3,0
,,,,0,0,5,0
,,,,0,0,6,0
,,,,0,0,5,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,3,0
,,,,0,0,5,0
,,,,0,0,3,0
,,,,0,0,6,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,5,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,4,0
,,,,0,0,7,0
,,,,0,0,3,0
,,,,0,0,7,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,5,0
,,,,3.75,0,1,3.75
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,10,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,4,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,4,0
,,,,0,0,11,0
,,,,0,0,4,0
,,,,0,0,7,0
,,,,0,0,1,0
,,,,0,0,6,0
,,,,0,0,6,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,5,0
,,,,0,0,4,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,9,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,4,0
,,,,0,0,7,0
,,,,0,0,3,0
,,,,0,0,4,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,11,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,6,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,17.87,5,0
,,,,0,0,19,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,14,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,11,0
,,,,0,0,5,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,6,0
,,,,0,0,4,0
,,,,0,0,5,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,8,0
,,,,0,196.01,13,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,25,0
,,,,0,0,2,0
,,,,0,0,31,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,5,0
,,,,0,0,2,0
,,,,0,0,4,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,5,0
,,,,0,11.98,2,0
,,,,0,0,20,0
,,,,0,0,4,0
,,,,0,0,7,0
,,,,0,0,4,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,4,0
,,,,0,0,4,0
,,,,0,0,11,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,48,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,15,0
,,,,0,0,2,0
,,,,0,0,9,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,17,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,8,0
,,,,0,0,2,0
,,,,0,0,8,0
,,,,0,0,23,0
,,,,0,0.5,5,0
,,,,0,0,2,0
,,,,0,1.56,3,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,4,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,9,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,5,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,4,0
,,,,0,0,3,0
,,,,0,0,10,0
,,,,0,0,1,0
,,,,0,0,8,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,14,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,9,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,6,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,4,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,14,0
,,,,0,0,5,0
,,,,0,0,6,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,7,0
,,,,0,0,20,0
,,,,0,0,3,0
,,,,0,0,8,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,4,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,6,0
,,,,0,0,9,0
,,,,0,0,6,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,5,0
,,,,0,0,4,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,10,0
,,,,0,0,7,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,20,0
,,,,0,0,13,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,9,0
,,,,0,0,9,0
,,,,0,0,2,0
,,,,0,0,15,0
,,,,0,0,12,0
,,,,0,0,28,0
,,,,0,0,3,0
,,,,0,0,7,0
,,,,0,0,10,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,12,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,1,0
,,,,0,0,7,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,8,0
,,,,0,0,4,0
,,,,0,0,5,0
,,,,0,0,17,0
,,,,0,0,12,0
,,,,0,0,13,0
,,,,0,0,14,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,6,0
,,,,0,0,7,0
,,,,0,0,5,0
,,,,0,0,3,0
,,,,0,0,9,0
,,,,0,0,4,0
,,,,0,0,9,0
,,,,0,0,4,0
,,,,0,0,13,0
,,,,0,0,5,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,9,0
,,,,0,3.99,1,0
,,,,0,1.5,4,0
,,,,1.51,0,6,1.51
,,,,0,0,14,0
,,,,0,0,14,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,13,0
,,,,0,0,2,0
,,,,0,0,10,0
,,,,0,0,1,0
,,,,0,0,5,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,7,0
,,,,0,0,10,0
,,,,0,0,10,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,9,0
,,,,0,0,4,0
,,,,0,0,9,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,4,0
,,,,0,0,20,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,4,0
,,,,0,0,4,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,16,0
,,,,0,0,10,0
,,,,0,0,3,0
,,,,0,0,6,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,8,0
,,,,0,0,5,0
,,,,0,0,3,0
,,,,3.98,0,4,3.98
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,5,0
,,,,0,0,4,0
,,,,0,0,5,0
,,,,0,0,4,0
,,,,0,0,10,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,51,0
,,,,0,0,14,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,10,0
,,,,0,0,1,0
,,,,0,0,6,0
,,,,0,0,9,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,4,0
,,,,0,0,6,0
,,,,0,0,6,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,4,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,4,0
,,,,0,0,1,0
,,,,0,0,5,0
,,,,0,0,2,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,5,0
,,,,0,0,7,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,13,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,5,0
,,,,0,0,2,0
,,,,0,0,7,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,3,0
,,,,0,0,18,0
,,,,0,0,7,0
,,,,0,0,5,0
,,,,0,0,6,0
,,,,0,0,1,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,2,0
,,,,0,0,3,0
,,,,0,0,3,0
,,,,0,0,1,0
,,,,0,0,8,0
,,,,0,0,1,0
,,,,0,0,1,0
,,,,0,0,3,0
,,,,0,0,15,0
,,,,0,0,23,0
,,,,0,0,6,0
,,,,0,0,1,0
,,,,0,0,8,0
,,,,1.36,0,7,1.36
,,,,0,0,1,0
,,,,0,0,4,0
,,,,0,0,2,0
,,,,0,0,5,0
,,,,0,0,5,0
,,,,0,0,2,0
,,,,0,0,17,0
,,,,0,0,6,0
,,,,0,0,8,0
,,,,0,0,4,0
,,,,0,0,7,0
,,,,0,0,3,0
,,,,0,0,2,0
,,,,0,0,2,0
