no-heart-attack,heart-attack,Salary-Churn,Salary-Not-Churn,Mex-Inflation,high_school,bachelors_degree,home-expected-goals,away-expected-goals,Control-earning,Test-earning,Control-Click,Test-Click,Developing,Developed,,
190,150,162503.48,126517.46,2.13,20.6,33.19,1.9,1.8,2257,2278,3747,6002,69.7,,,36
120,140,40721.24,90878.13,2.61,20.61,32.67,1.1,1.3,1781,2531,4608,3626,82.2,,,37
160,118,5472.7,194099.12,2.87,20.4,31.5,0.4,0.7,2188,2598,3649,4703,65.5,,,38
110,110,8080.85,198059.16,2.6,20.3,31.07,1.1,1.5,2255,2596,4736,4495,74.5,,,39
130,110,8546.87,86424.57,2.54,20.43,30.73,4.5,1,1289,2968,4285,4800,62.1,,,40
130,150,92982.61,116978.19,2.6,20.65,30.55,0.8,0.7,,,,,88,,,41
140,120,146145.93,113410.49,2.54,20.68,30.17,1.6,1.9,,,,,71.7,,,42
130,130,14374.86,87107.57,2.65,20.9,30.04,1.1,1.5,,,,,58.1,,,43
130,120,199304.74,45613.75,2.73,21.62,30.57,0.9,1.4,,,,,58.4,,,44
140,130,142513.5,46775.28,2.97,21.52,30.9,1.7,0.3,,,,,66,,,45
110,122,157959.02,84509.57,3.06,21.5,31.07,1,0.9,,,,,63.1,,,46
125,160,34888.04,126494.82,3.31,21.76,31.46,1.2,0.6,,,,,74.5,,,47
130,160,28737.71,178798.13,3.36,21.55,31.45,3.9,0.3,,,,,68,,,48
120,160,4861.72,99398.36,4.72,21.6,31.69,1.2,1,,,,,68.9,,,49
120,130,108872.45,92840.67,4.86,22.22,32.8,1.6,1,,,,,67.9,,,50
125,120,85746.52,27758.36,5.35,,,1.7,0.6,,,,,82.2,,,51
112,170,77206.25,110431.51,5.82,,,1.4,0.4,,,,,75.8,,,52
115,120,33462.94,196673.28,6.16,,,0.7,0.2,,,,,74,,,53
120,120,55803.96,113656.85,6.31,,,3,0.2,,,,,69.9,,,54
120,130,89048.46,18203,6.44,,,2.7,1.2,,,,,62.9,,,55
150,130,45071.09,33953.87,6.66,,,1,1,,,,,66.1,,,56
120,140,131953.23,44203.55,6.35,,,1.3,2.8,,,,,74.8,,,57
160,200,134420.75,58426.81,6.37,,,0.8,1.3,,,,,52.1,,,58
140,140,81259.25,145562.4,6.63,,,3,0.8,,,,,58.1,,,59
100,150,48559.19,22388,6.77,,,2.5,1.3,,,,,65.1,,,60
120,150,11199.04,139161.64,5.55,,,1.1,1.3,,,,,57.6,,,61
120,160,152167.79,148210.64,5.34,,,2.7,0.7,,,,,74.8,,,62
120,130,47251.79,194239.63,5.04,,,0.4,3,,,,,78.2,,,63
120,130,150401.53,98301.61,4.55,,,3.7,0.7,,,,,57.8,,,64
150,120,155853.52,171413.66,4.51,,,1.2,1.8,,,,,63,,,65
150,150,170034.95,26019.59,4.65,,,1.5,1.8,,,,,74.2,,,66
142,130,127166.49,159235.29,4.81,,,1,1.2,,,,,76.6,,,67
120,140,120540.83,1907.66,4.9,,,2.3,0.6,,,,,68.4,,,68
120,135,182855.42,114675.75,5.02,,,1.4,1.7,,,,,75.9,,,69
130,138,108761.05,151869.35,4.9,,,2.6,0.5,,,,,74.1,,,70
150,130,177772.03,156791.36,4.72,,,0.8,3.1,,,,,56.7,,,71
130,140,116828.51,147132.46,4.83,,,0.8,0.4,,,,,66.4,,,72
180,135,14109.85,109614.57,4.37,,,3.6,0.8,,,,,65.9,,,73
132,112,43527.4,172290.61,3.94,,,2.5,1.5,,,,,69.6,,,74
140,130,86099.23,85982.47,4,,,1.7,2.4,,,,,74.5,,,75
135,140,174248.52,121277.78,4.41,,,2.1,0.7,,,,,61.4,,,76
120,160,2319.96,64595.25,4.28,,,1.8,1.5,,,,,53.6,,,77
140,145,122381.02,197276.13,3.95,,,1.1,0.7,,,,,66.2,,,78
130,180,188150.6,99645.04,3.78,,,1.9,1.4,,,,,77.6,,,79
140,140,77405.95,6534.18,3.16,,,0.5,1.2,,,,,62.7,,,80
120,140,417.41,161848.03,3,,,2.1,1.6,,,,,73.9,,,81
150,160,183840.51,167162.43,3.02,,,1,0.4,,,,,75.3,,,82
110,145,173779.25,41970.72,2.97,,,1.3,1.3,,,,,68.4,,,83
110,120,187929.43,60536.56,2.83,,,1.4,1.7,,,,,73,,,84
180,150,11384.45,10054.53,3.24,,,1.3,0.7,,,,,65.7,,,85
140,170,93524.19,36976.52,3.7,,,1.1,3.3,,,,,73.8,,,86
130,136,8128.32,71862.79,3.25,,,0.7,2.5,,,,,67.3,,,87
110,130,134600.94,63082.88,2.15,,,0.6,2.8,,,,,66.4,,,88
160,140,72467.99,27231.26,2.84,,,2,0.9,,,,,75.4,,,89
140,170,136050.44,86797.41,3.33,,,1.8,1,,,,,73,,,90
?,140,145704.19,22994.32,3.62,,,0.9,1.8,,,,,48.1,,,91
120,120,138777,74169.13,4.05,,,0.9,1.7,,,,,68.8,,,92
120,140,199273.98,115638.29,4.01,,,0.8,0.6,,,,,62,,,93
120,135,48725.68,31766.3,4.09,,,3.5,1.1,,,,,74.7,,,94
108,120,71905.77,120834.48,3.33,,,2.3,0.6,,,,,71.4,,,95
120,160,20629.4,38131.77,3.15,,,2.4,1.2,,,,,58.4,,,96
150,128,34580.8,100130.95,3.54,,,0.9,1,,,,,69.6,,,97
100,150,150227.85,141069.88,3.76,,,2.1,1.1,,,,,74.6,,,98
130,140,14353.43,198129.36,4.67,,,2.8,1.5,,,,,68,,,99
140,140,194998.34,183646.41,6.08,,,0.3,1.6,,,,,59.7,,,100
110,140,134901.34,171378.77,5.89,,,1.7,0.8,,,,,73.3,,,101
110,160,116503.92,167256.35,5.88,,,2.7,0.2,,,,,71.1,,,102
110,130,74135.48,124226.16,5.81,,,1.7,1.4,,,,,75.1,,,103
124,155,67110.59,114935.21,5.59,,,1.5,1.7,,,,,75.5,,,104
130,180,62256.87,35608.88,6,,,2.6,0.4,,,,,66,,,105
100,130,177815.87,16459.37,6.24,,,2,0.5,,,,,61.5,,,106
140,,188574.12,124411.08,7.37,,,1.7,1.3,,,,,78,,,107
120,,38411.79,34941.23,7.36,,,0.9,1.7,,,,,76.8,,,108
140,,70649.64,167784.28,7.07,,,0.4,1,,,,,69.2,,,109
110,,18260.98,93165.34,7.28,,,1,2.1,,,,,71.7,,,110
120,,73275.96,189543.9,7.45,,,1.4,2.2,,,,,61.1,,,111
120,,109078.35,180427.24,7.68,,,1.7,1.1,,,,,59,,,112
140,,87822.14,193318.33,7.65,,,1.4,1.4,,,,,,,,113
170,,2079.2,54141.5,7.99,,,1.4,3,,,,,,,,114
140,,191932.27,141075.51,8.15,,,2.3,0.5,,,,,,,,115
150,,191468.78,24495.03,8.7,,,1.9,1.3,,,,,,,,116
160,,71244.59,74836.34,8.7,,,1.6,1.8,,,,,,,,117
110,,191763.07,878.87,8.41,,,3.3,1.3,,,,,,,,118
130,,67740.08,89520.75,7.8,,,2.8,0.4,,,,,,,,119
150,,159835.78,180800.42,7.82,,,1.4,0.7,,,,,,,,120
125,,109291.39,98646.22,7.91,,,0.9,1.7,,,,,,,,121
130,,54954.51,109041.53,7.62,,,2.9,1.2,,,,,,,,122
130,,179614.8,82996.47,6.85,,,1.5,1.1,,,,,,,,123
120,,35588.07,92067.35,6.25,,,1.1,2,,,,,,,,124
140,,147278.43,104719.66,5.84,,,1.2,1.1,,,,,,,,125
125,,56594.36,112687.57,5.06,,,1.1,1.8,,,,,,,,126
130,,9221.78,84699.56,4.79,,,1.2,0.7,,,,,,,,127
120,,110916.15,83473.82,4.64,,,4.4,1.4,,,,,,,,128
140,,54926.51,47125.11,4.45,,,2,0.4,,,,,,,,129
160,,121751.04,106977.8,,,,1.6,1.1,,,,,,,,130
140,,193437.89,139874.43,,,,0.9,2.5,,,,,,,,131
113,,61108.56,196499.96,,,,1.9,0.8,,,,,,,,
140,,57553.98,53134.3,,,,1.5,1.4,,,,,,,,
120,,50129.87,164017.89,,,,0.7,1.2,,,,,,,,
120,,156618.38,155996.96,,,,1.6,1.7,,,,,,,,
140,,173683,112187.11,,,,0.9,3.3,,,,,,,,
120,,27046.46,146457.83,,,,2.5,3.3,,,,,,,,
124,,20598.59,27286.1,,,,0.9,0.6,,,,,,,,
130,,19287.06,130553.47,,,,2.6,0.5,,,,,,,,
140,,147802.94,179351.89,,,,1.9,1.8,,,,,,,,
120,,29358.57,94774.12,,,,2,1.9,,,,,,,,
120,,124118.71,19482.5,,,,1.8,1.4,,,,,,,,
120,,38867.46,48071.61,,,,1.4,2.4,,,,,,,,
130,,76569.64,174531.27,,,,1.8,0.6,,,,,,,,
140,,120657.32,55470.78,,,,3.2,1.2,,,,,,,,
150,,20451.99,95857.18,,,,0.1,1.2,,,,,,,,
160,,16649.31,194945.8,,,,0.9,1,,,,,,,,
120,,150694.42,131521.72,,,,2,0.8,,,,,,,,
110,,177683.02,196108.51,,,,2,0.6,,,,,,,,
120,,131372.38,148564.76,,,,2.3,1.6,,,,,,,,
120,,64166.7,17675.36,,,,1.6,1.2,,,,,,,,
160,,176924.21,114996.43,,,,2,1,,,,,,,,
160,,161435.02,86957.42,,,,1.1,0.4,,,,,,,,
120,,88705.14,128077.8,,,,1.7,1.1,,,,,,,,
150,,35817.97,600.36,,,,1.8,0.7,,,,,,,,
150,,157908.19,43001.46,,,,0.8,1.4,,,,,,,,
110,,157552.08,158591.12,,,,2,0.9,,,,,,,,
122,,24506.95,47847.19,,,,3.3,0.4,,,,,,,,
130,,47271.61,10488.44,,,,1.8,2.4,,,,,,,,
120,,158887.09,5978.2,,,,1.2,2.4,,,,,,,,
140,,120415.61,121409.06,,,,1,1.7,,,,,,,,
145,,16064.25,94670.77,,,,0.8,0.4,,,,,,,,
110,,190696.35,179670.31,,,,1.8,0.7,,,,,,,,
120,,14679.81,151954.39,,,,1.7,1.5,,,,,,,,
120,,89017.38,158264.62,,,,1.2,3.4,,,,,,,,
140,,103516.08,169381.9,,,,1.6,1.3,,,,,,,,
130,,110932.24,169915.02,,,,1.1,1.3,,,,,,,,
130,,30730.95,88852.47,,,,1.2,0.2,,,,,,,,
130,,91936.1,40645.81,,,,1.5,4.4,,,,,,,,
130,,28266.9,60427.3,,,,1.4,2.2,,,,,,,,
120,,113316.77,133007.34,,,,0.8,0.4,,,,,,,,
130,,93953.84,176576.62,,,,1.9,1.5,,,,,,,,
180,,195635.3,98178.57,,,,1.1,2,,,,,,,,
140,,97508.04,125010.24,,,,1,1.1,,,,,,,,
130,,188083.77,167984.61,,,,1.6,0.5,,,,,,,,
130,,110510.28,198252.88,,,,3.2,1.4,,,,,,,,
140,,108488.33,26960.31,,,,1.5,1.5,,,,,,,,
135,,9217.55,61048.53,,,,1.8,1,,,,,,,,
130,,17978.68,111981.19,,,,1.3,0.9,,,,,,,,
140,,115136.51,62232.6,,,,0.9,3.9,,,,,,,,
130,,60917.24,156105.03,,,,0.5,1.1,,,,,,,,
180,,77294.56,150135.38,,,,0.6,1.5,,,,,,,,
140,,54359.02,93146.11,,,,2,1.6,,,,,,,,
120,,128702.1,144375,,,,1.8,1.1,,,,,,,,
130,,71865.31,162812.16,,,,1.3,1.3,,,,,,,,
125,,176407.15,136259.65,,,,2,1.6,,,,,,,,
160,,92027.69,124052.97,,,,2.9,2.1,,,,,,,,
140,,115789.25,74158.8,,,,1.3,2.1,,,,,,,,
,,56999.9,62030.06,,,,2,1.1,,,,,,,,
,,22447.85,79414,,,,1,0.9,,,,,,,,
,,189122.89,199638.56,,,,1.7,2.1,,,,,,,,
,,135482.26,157577.29,,,,1.1,1.6,,,,,,,,
,,96823.32,99805.99,,,,2.2,1.2,,,,,,,,
,,157333.69,97932.68,,,,1.3,2.2,,,,,,,,
,,194273.2,170968.99,,,,2.5,2.3,,,,,,,,
,,5684.17,57558.95,,,,2.5,1.2,,,,,,,,
,,21228.34,176713.47,,,,1.3,1.9,,,,,,,,
,,156774.94,34283.23,,,,2.3,0.8,,,,,,,,
,,108732.96,198637.34,,,,1,1.2,,,,,,,,
,,117349.19,156917.12,,,,1.1,1.4,,,,,,,,
,,67046.83,50457.2,,,,1.9,1.9,,,,,,,,
,,69454.24,140075.55,,,,1.1,1,,,,,,,,
,,102299.81,65323.11,,,,0.8,1.6,,,,,,,,
,,140765.57,64323.24,,,,1.3,0.7,,,,,,,,
,,67124.48,14956.44,,,,2.7,0.9,,,,,,,,
,,53793.1,111879.21,,,,3.5,0.8,,,,,,,,
,,130009.85,18606.23,,,,0.7,3.1,,,,,,,,
,,127847.25,123137.01,,,,2.3,1.9,,,,,,,,
,,169583.18,148528.24,,,,2.7,1.5,,,,,,,,
,,60083.11,13898.31,,,,2.8,1.9,,,,,,,,
,,165580.93,161051.75,,,,0.8,0.8,,,,,,,,
,,140881.2,191599.67,,,,2.6,0.4,,,,,,,,
,,16500.66,186339.74,,,,0.9,0.8,,,,,,,,
,,114020.06,33159.37,,,,0.8,2,,,,,,,,
,,52449.62,93883.53,,,,1,0.7,,,,,,,,
,,180251.68,110899.3,,,,0.9,0.5,,,,,,,,
,,78566.64,189992.97,,,,0.2,0.4,,,,,,,,
,,38629.3,164255.69,,,,0.7,0.5,,,,,,,,
,,24998.75,33949.67,,,,1.4,1.8,,,,,,,,
,,19376.56,68143.93,,,,0.6,1.1,,,,,,,,
,,31904.31,25885.72,,,,0.7,1.3,,,,,,,,
,,173179.79,192633.85,,,,1.3,0.8,,,,,,,,
,,177383.68,34577.36,,,,1.8,1.2,,,,,,,,
,,196466.83,161229.84,,,,1.3,2.1,,,,,,,,
,,70758.37,100816.29,,,,1.9,1.2,,,,,,,,
,,152821.12,181694.44,,,,1.4,3.3,,,,,,,,
,,76755.99,79078.91,,,,1.2,1.2,,,,,,,,
,,73406.04,137316.32,,,,1.8,0.5,,,,,,,,
,,149471.13,194926.86,,,,1.7,0.5,,,,,,,,
,,46369.57,51285.49,,,,1.9,1,,,,,,,,
,,30722.52,112491.96,,,,2,0.6,,,,,,,,
,,106663.46,73656.38,,,,0.4,1.4,,,,,,,,
,,175836.03,106636.89,,,,0.6,0.8,,,,,,,,
,,191734.67,162599.51,,,,1.4,0.6,,,,,,,,
,,93982.02,103737.82,,,,4.2,0.2,,,,,,,,
,,197000.92,160990.27,,,,2.7,0.9,,,,,,,,
,,106837.06,15462.84,,,,0.8,0.8,,,,,,,,
,,49108.23,10334.05,,,,0.7,0.8,,,,,,,,
,,98686.4,190686.16,,,,2.9,0.8,,,,,,,,
,,173878.87,94440.45,,,,1.2,0.1,,,,,,,,
,,143619.52,28257.63,,,,1.5,1.2,,,,,,,,
,,60891.8,31824.29,,,,1.2,1.1,,,,,,,,
,,76640.29,44937.01,,,,1.7,0.5,,,,,,,,
,,126013.58,188603.07,,,,0.6,2,,,,,,,,
,,27345.18,145111.37,,,,2.1,0.8,,,,,,,,
,,179978.68,171463.83,,,,2.2,2.1,,,,,,,,
,,190296.76,182822.5,,,,0.8,2.3,,,,,,,,
,,146992.24,87213.33,,,,1.4,0.4,,,,,,,,
,,79579.94,57175.32,,,,0.8,0.9,,,,,,,,
,,153537.55,28714.34,,,,1.6,1.4,,,,,,,,
,,170214.82,85426.28,,,,1.6,2.2,,,,,,,,
,,100615.14,46170.75,,,,2.1,2,,,,,,,,
,,139994.68,64448.36,,,,1.1,1.7,,,,,,,,
,,38409.79,16278.97,,,,0.7,2.9,,,,,,,,
,,158302.59,50404.72,,,,1.8,0.3,,,,,,,,
,,94993.04,107640.25,,,,2,0.5,,,,,,,,
,,173912.29,134132.65,,,,2.2,1,,,,,,,,
,,164128.41,103480.69,,,,0.9,2.3,,,,,,,,
,,46998.13,179012.3,,,,1,1.2,,,,,,,,
,,139431,95145.14,,,,1.1,0.9,,,,,,,,
,,20063.63,72143.44,,,,1.5,0.2,,,,,,,,
,,121504.18,19162.89,,,,2.8,1.3,,,,,,,,
,,31272.14,144680.18,,,,0.6,0.6,,,,,,,,
,,64381.33,5597.94,,,,1.8,0.7,,,,,,,,
,,122066.5,174652.51,,,,1.3,1,,,,,,,,
,,181945.52,2010.98,,,,2,2.3,,,,,,,,
,,95611.74,161574.19,,,,0.7,2.2,,,,,,,,
,,139266.48,38970.14,,,,1.2,0.5,,,,,,,,
,,1285.81,127587.22,,,,0.8,0.5,,,,,,,,
,,53931.05,30380.12,,,,0.7,0.6,,,,,,,,
,,146359.81,90908.95,,,,3.2,0.8,,,,,,,,
,,28370.95,138275.01,,,,0.6,1.5,,,,,,,,
,,68093.23,32171.79,,,,2.1,1.6,,,,,,,,
,,149583.67,126143.23,,,,0.7,2.2,,,,,,,,
,,121883.87,129892.93,,,,1.8,0.9,,,,,,,,
,,100722.72,102416.84,,,,1.5,1,,,,,,,,
,,54560.79,18719.67,,,,1.8,1.4,,,,,,,,
,,24765.53,61936.22,,,,1.2,2.3,,,,,,,,
,,28280.8,78358.94,,,,1.1,0.6,,,,,,,,
,,125870.79,147224.27,,,,1.3,0.3,,,,,,,,
,,107415.02,160979.66,,,,4.6,2.1,,,,,,,,
,,166526.26,132298.49,,,,3.8,1.9,,,,,,,,
,,91560.63,123547.28,,,,0.9,0.9,,,,,,,,
,,5924.38,32790.02,,,,0.3,1,,,,,,,,
,,58203.67,181543.67,,,,1.7,3.1,,,,,,,,
,,73585.18,189543.19,,,,1.7,2.2,,,,,,,,
,,133020.9,10940.4,,,,1.6,1.3,,,,,,,,
,,77830.36,199493.38,,,,1.9,0.4,,,,,,,,
,,17160.94,188193.25,,,,2.1,0.8,,,,,,,,
,,133146.03,172572.64,,,,1.9,3.6,,,,,,,,
,,185750.02,189339.6,,,,1.9,2.5,,,,,,,,
,,3440.47,53512.16,,,,1.1,1.6,,,,,,,,
,,44506.09,34004.44,,,,1.6,0.9,,,,,,,,
,,60032.46,10598.29,,,,1.1,0.6,,,,,,,,
,,100686.11,113428.77,,,,0.9,1.5,,,,,,,,
,,15795.88,183487.98,,,,2.8,1.7,,,,,,,,
,,92277.47,187658.09,,,,3.1,0.2,,,,,,,,
,,44244.49,172459.39,,,,1.3,3,,,,,,,,
,,78133.48,21016,,,,1.6,2.5,,,,,,,,
,,75884.65,128123.66,,,,1.8,0.6,,,,,,,,
,,146955.71,19570.63,,,,4.1,1.3,,,,,,,,
,,130883.9,111020.24,,,,2.6,0.2,,,,,,,,
,,144675.3,123775.15,,,,1.7,0.9,,,,,,,,
,,161479.19,146700.22,,,,2.9,1.4,,,,,,,,
,,55857.48,145251.35,,,,1.3,1,,,,,,,,
,,22878.16,82463.69,,,,1.7,1.7,,,,,,,,
,,125154.57,15928.49,,,,0.8,0.5,,,,,,,,
,,50230.31,45886.33,,,,0.6,1.4,,,,,,,,
,,177719.88,186489.95,,,,5.1,0.2,,,,,,,,
,,82152.83,162922.65,,,,1.3,1.1,,,,,,,,
,,1713.1,9262.77,,,,1.6,1,,,,,,,,
,,20243.97,84932.4,,,,1,2.1,,,,,,,,
,,95941.55,71557.12,,,,3.1,2,,,,,,,,
,,236.45,71405.17,,,,2.1,3.1,,,,,,,,
,,175843.68,153400.24,,,,1.6,0.6,,,,,,,,
,,166164.3,371.05,,,,2.8,1.2,,,,,,,,
,,173365.9,67789.99,,,,1,0.7,,,,,,,,
,,122953,145894.9,,,,1.1,1.7,,,,,,,,
,,141400.51,108887.44,,,,1.2,2.7,,,,,,,,
,,41921.75,154071.27,,,,0.2,0.9,,,,,,,,
,,194690.77,179291.85,,,,1,1.7,,,,,,,,
,,166677.35,56937.43,,,,0.8,0.8,,,,,,,,
,,63606.22,112239.03,,,,1.3,0.9,,,,,,,,
,,83499.89,45909.87,,,,1.2,2.4,,,,,,,,
,,36091.91,125696.26,,,,4,1.6,,,,,,,,
,,111402.97,159585.61,,,,1.5,0.6,,,,,,,,
,,92873.5,106761.47,,,,1.9,0.2,,,,,,,,
,,164038.07,129590.18,,,,0.4,0.9,,,,,,,,
,,163944.18,80006.65,,,,0.8,1.4,,,,,,,,
,,135459.02,140451.52,,,,2.6,0.5,,,,,,,,
,,188366.04,167155.36,,,,0.8,2.2,,,,,,,,
,,19448.93,191420.71,,,,3.1,0.6,,,,,,,,
,,191521.32,94898.1,,,,3.2,0.1,,,,,,,,
,,44731.8,106781.59,,,,1.2,0.9,,,,,,,,
,,124532.9,159508.52,,,,3.8,1.4,,,,,,,,
,,27341.63,87168.46,,,,0.7,1.7,,,,,,,,
,,168035.62,125518.32,,,,1.2,0.8,,,,,,,,
,,63940.68,48963.59,,,,1,2.4,,,,,,,,
,,55558.51,98368.24,,,,1,1.6,,,,,,,,
,,117232.9,148584.61,,,,0.3,0.5,,,,,,,,
,,116137.01,27474.81,,,,1.4,2.6,,,,,,,,
,,8651.92,76192.21,,,,1.6,1.2,,,,,,,,
,,7597.83,199645.45,,,,1.1,2.1,,,,,,,,
,,77981.54,42749.85,,,,0.3,0.9,,,,,,,,
,,126369.55,73564.44,,,,0.7,2.2,,,,,,,,
,,191973.49,85578.63,,,,1.3,0.4,,,,,,,,
,,177805.44,129826.89,,,,2.3,0.9,,,,,,,,
,,179485.96,119666,,,,3.4,0.5,,,,,,,,
,,118490.8,68052.08,,,,1.7,2.9,,,,,,,,
,,145071.33,164104.74,,,,1.5,0.2,,,,,,,,
,,189826.96,80190.36,,,,2.1,0.4,,,,,,,,
,,77677.14,84126.75,,,,0.3,1.2,,,,,,,,
,,85891.02,70179,,,,2.8,0.4,,,,,,,,
,,90558.24,118024.1,,,,0.5,1.6,,,,,,,,
,,66926.83,183049.41,,,,1,1,,,,,,,,
,,113557.7,120906.83,,,,0.2,2.7,,,,,,,,
,,100015.79,100433.83,,,,2,0.8,,,,,,,,
,,194700.81,124694.99,,,,2,0.9,,,,,,,,
,,17987.4,40084.32,,,,0.5,0.9,,,,,,,,
,,138192.98,119232.33,,,,1.1,1.5,,,,,,,,
,,130260.11,43921.36,,,,1.2,0.5,,,,,,,,
,,175709.4,62222.81,,,,1.3,4,,,,,,,,
,,101069.71,56577,,,,1.7,0.4,,,,,,,,
,,194113.99,164253.35,,,,2.3,2.4,,,,,,,,
,,118711.75,7666.73,,,,3.1,1.7,,,,,,,,
,,136507.69,68487.51,,,,2.1,0.3,,,,,,,,
,,138871.12,186062.36,,,,2,1,,,,,,,,
,,131173.9,195711.16,,,,0.7,2.4,,,,,,,,
,,95277.15,36692.17,,,,2,1.1,,,,,,,,
,,83978.86,106920.57,,,,2,2,,,,,,,,
,,37543.93,167036.94,,,,1.6,2.5,,,,,,,,
,,36579.53,68777.26,,,,0,1.5,,,,,,,,
,,5862.53,18924.92,,,,1.9,2.1,,,,,,,,
,,192298.84,64833.28,,,,1.2,1.4,,,,,,,,
,,180150.49,184843.77,,,,0.9,2.1,,,,,,,,
,,26163.74,176730.02,,,,2,0.7,,,,,,,,
,,136365,28415.36,,,,1.1,0.9,,,,,,,,
,,173464.43,77231.27,,,,1.3,3.5,,,,,,,,
,,47161.25,102750.7,,,,2.2,2.8,,,,,,,,
,,133167.11,183598.77,,,,0.7,1.9,,,,,,,,
,,123602.11,147358.27,,,,1.8,1,,,,,,,,
,,188670.9,108469.2,,,,2.3,1.3,,,,,,,,
,,61759.33,20612.82,,,,0.4,0.8,,,,,,,,
,,94554.74,181196.76,,,,2.9,1.6,,,,,,,,
,,33823.5,160249.1,,,,1.8,1,,,,,,,,
,,97468.44,110783.28,,,,2.8,2,,,,,,,,
,,65500.53,144995.33,,,,3.1,1,,,,,,,,
,,6981.43,53718.28,,,,0.7,0.4,,,,,,,,
,,185211.28,75248.3,,,,1.4,1,,,,,,,,
,,192744.23,130486.57,,,,0.7,0.3,,,,,,,,
,,122134.56,100127.71,,,,0.8,1.2,,,,,,,,
,,33310.72,196356.17,,,,3.3,1.3,,,,,,,,
,,72876.43,9983.88,,,,0.7,1.6,,,,,,,,
,,142400.27,118974.77,,,,0.8,2,,,,,,,,
